time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.9999999765308,9.999999914106128,10.002730442690012,6.283014362818516,2.9651110208028797e-05,0.0,-2.2929248464205157e-06,-1.0748631487145325e-05,0.0910111255015098,-0.009262568852594362,0.0014647602500473754,0.0,433.1379890791026,433.2611235827887,435.2638732972789,434.48820611241155
0.12000000000000001,9.999998870282372,9.999992940875435,10.01379711244218,6.282048318553727,6.283123744011339,0.0,-3.529968842587246e-05,-0.00030249046700877755,0.2778502426346002,-0.035522427338800386,-0.008282468084973536,0.0,464.7086746926445,463.94416596069385,464.01504509060413,461.94935140395063
0.18,9.9999997495852,9.999939367665688,10.035880305127243,6.279774435014547,6.283045422183745,0.0,9.42321294774352e-05,-0.0017335476220815761,0.45820013085705213,-0.043130429522140024,0.009895860025635087,0.0,461.36570234648923,462.7985250178152,461.8117079221393,461.21066852353795
0.23999999999999996,10.000005988148535,9.99975135288205,10.067290901946718,6.276874078944665,0.0005232951620186554,0.0,4.666426917820689e-05,-0.00482269241089371,0.5887597409388541,-0.0615933334007568,0.013272273452823271,0.0,446.0302342500556,446.30573031986233,448.0505103819162,446.5456518327936
0.3,9.999993065772001,9.999297502584454,10.10855408157639,6.273606916924123,0.0011169667379409276,0.0,-0.0005595072198509653,-0.010707035731065748,0.7865610101416918,-0.043043750817781626,0.002098513687100403,0.0,466.83529309606064,465.96260868096016,467.46814992000884,468.90923450042845
0.36000000000000004,9.999939671164336,9.99847964385632,10.155529948037822,6.270953944817567,0.0011124323644082779,0.0,-0.0012258897284453145,-0.016780344211728356,0.7793038299122546,-0.04666993476743517,-0.004823365254858619,0.0,402.12316147506726,401.49573231847,402.5314134482227,402.20183473683244
0.4200000000000001,9.999843932148291,9.99720719097796,10.205464077523718,6.268170379353,0.0003696063540186145,0.0,-0.0019201334548606774,-0.02592096279177698,0.8850869286910379,-0.04584426230020222,-0.03516604489654096,0.0,440.39313917573236,437.87653992348277,439.6023699142368,439.6694714617492
0.48000000000000015,9.999728880747686,9.995292362146849,10.264133619320083,6.266073427993195,6.281723458427955,0.0,-0.0016904997551559046,-0.038175314275312566,1.0704046197656731,-0.019116379958682785,-0.02256533366215635,0.0,463.8397980254161,464.82789542322087,462.6525256099914,464.7512766694181
0.5400000000000001,9.999665394313434,9.992615529868974,10.332998297270859,6.26497801394301,6.2805964327180845,0.0,-0.0002904150306120627,-0.05117320143933525,1.2249289619750205,-0.01659119685681964,-0.012128821591059233,0.0,454.8564096503277,455.69139219497566,454.7472488498706,454.9495245390417
0.6000000000000002,9.99970958810847,9.989128442852376,10.411483818488758,6.263853858102312,6.279947686523823,0.0,0.0018398432880026364,-0.06517772982039048,1.3910648522600422,-0.023412855773231933,-0.008301727818867424,0.0,458.45262726321135,458.7567064276611,459.53076024369665,458.98980956290023
0.6600000000000003,9.999889997408689,9.984806537524186,10.49830059856384,6.262876951382088,6.279388083604363,0.0,0.004228106292801443,-0.07900372944391165,1.502684531935846,-0.004881992554674043,-0.011459821781892051,0.0,442.7666026725389,442.5068532737106,441.6708876814209,443.1964882678177
0.7200000000000003,10.000243962763863,9.979544860088051,10.596460265744248,6.26327686792013,6.279018805096385,0.0,0.007634056655154062,-0.09636310655065462,1.7689309364926553,0.023192545463281207,0.0027689432700006697,0.0,488.5037085666441,489.5635683900235,487.92919098561805,490.0204006378126
0.7800000000000004,10.000787348393315,9.973357730139389,10.705549889829866,6.264494588198524,6.279039528662679,0.0,0.010468129551077461,-0.10973837257221337,1.8672366173335062,0.01376003499588828,-0.005005852950504876,0.0,440.1333215681344,439.48942550450414,439.527988375805,438.74559190565196
0.8400000000000004,10.001509093675063,9.966360381357076,10.822198501598775,6.265449217252792,6.278640387953892,0.0,0.013627156135405244,-0.12340400587382279,2.0207929666440414,0.019897308064145008,-0.010167467131550915,0.0,457.35582637619393,456.9446710794131,456.5237683317579,457.0130770204054
0.9000000000000005,10.002422009290697,9.958598009056805,10.94622882851872,6.266893154347432,6.277714154454873,0.0,0.01687714066092888,-0.135205129637031,2.1133862789678663,0.0313149686700838,-0.028900425444267557,0.0,440.1609452470055,438.6080430307021,437.2647863024927,438.214946716688
0.9600000000000005,10.003533720373804,9.950211290731312,11.072583290841834,6.269211823954196,6.276555557847207,0.0,0.020298919714568667,-0.1441722278954015,2.0984589534019746,0.050297565099504074,-0.004921961805278463,0.0,402.8954048745671,405.0573886579989,401.91680452586706,403.6343842393279
1.0200000000000005,10.004885504060823,9.941291876675677,11.200846026199748,6.272186233480017,6.276161799381885,0.0,0.02479337288043739,-0.15284428141658257,2.176823453965334,0.04808507074910348,-0.010064488755886374,0.0,434.0539331951865,433.62226916140344,434.88792097170943,434.7041630304789
1.0800000000000005,10.006549205859889,9.931862482631137,11.33846498821778,6.274625385915462,6.275443185522144,0.0,0.030740139952712603,-0.16113187237051735,2.4100169200670454,0.018496634235271765,-0.016105825683943767,0.0,481.9162319038973,481.4595223027056,482.80432409640275,480.5675084504607
1.1400000000000006,10.008542201339315,9.922037023671917,11.484159238069994,6.275599178972561,6.274378868636207,0.0,0.035786216628021304,-0.16628635511112916,2.4463810037901443,0.01126026973470624,-0.021222090842299743,0.0,421.91543506772507,421.47353906737095,422.6200581989911,421.99581521714964
